title,year,desc,cast,director,genres,rating
Guess Who's Coming to Dinner,1967,"In Spencer Tracy and Katharine Hepburn's final screen pairing (their ninth), they play an affluent couple whose liberal views are put to the test when their daughter brings home her fiancé, and he turns out to be a black doctor.","Katharine Houghton, Sidney Poitier, Katharine Hepburn, Spencer Tracy",Stanley Kramer,"['Comedy', 'Drama']",TVPG
Raya and the Last Dragon,2021,"Kumandra is a place where humans and dragons peacefully coexist. When sinister monsters called the Druun threaten the community, however, the dragons readily make a sacrifice to save the human race. Hundreds of years later, the same threat returns. It is up to Raya, a lone warrior, to stop them once and for all. She tracks down the last dragon alive. But as she embarks on her journey, she realizes that it will take more than a dragon and its magic to save her world.","Kelly Marie Tran, Awkwafina, Izaac Wang, Gemma Chan","Don Hall, Carlos López Estrada","['Animation', 'Action', 'Adventure']",PG
Zootopia,2016,"Determined to prove herself, Officer Judy Hopps, the first bunny on Zootopia's police force, jumps at the chance to crack her first case - even if it means partnering with scam-artist fox Nick Wilde to solve the mystery.","Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate",Byron Howard,"['Animation', 'Adventure', 'Comedy', 'Crime', 'Family']",PG
Selena,1997,"Jennifer Lopez sizzles in this biography of Tejano music sensation Selena Quintanilla Perez (1971-95), beginning with the height of her fame and tracing back in time through her multicultural background in Texas and her music-rich upbringing under her father's guidance. Edward James Olmos, Jon Seda, Constance Marie, Jacob Vargas, Jackie Guerra, Rebecca Lee Meza, Lupe Ontiveros.","Jennifer Lopez, Edward James Olmos, Constance Marie, Jon Seda",Gregory Nava,"['Biography', 'Drama', 'Music']",PG
Soul Surfer,2011,"The true story of teen surfer Bethany Hamilton, who lost her arm in a shark attack and courageously overcame all odds to become a champion again, through her sheer determination and unwavering faith.","AnnaSophia Robb, Helen Hunt, Dennis Quaid, Carrie Underwood",Sean McNamara,"['Biography', 'Drama', 'Family', 'Sport']",PG
The Joy Luck Club,1994,"Adaptation of Amy Tan's bestseller about four immigrant Chinese women and their American-born daughters. The story begins in San Francisco, where three of the women have gathered to bid farewell to their deceased friend's daughter, who's departing for China to meet her long-lost half sisters.","Ming-Na Wen, Lauren Tom, Tamlyn Tomita, Rosalind Chao",Wayne Wang,['Drama'],R
Frida,2002,"Salma Hayek's Oscar-nominated performance drives this fascinating biopic about Mexican surrealist Frida Kahlo and her fiery marriage to fellow painter Diego Rivera (Alfred Molina). The imaginative film also chronicles her political activism and the bus accident that left her in pain for the rest of her life. Geoffrey Rush, Ashley Judd, Antonio Banderas, Edward Norton.","Salma Hayek, Alfred Molina, Mía Maestro, Patricia Reyes Spíndola",Julie Taymor,"['Biography', 'Drama', 'Romance']",R
Glory,1989,"Robert Gould Shaw leads the US Civil War's first all-black volunteer company, fighting prejudices of both his own Union army and the Confederates.","Matthew Broderick, Denzel Washington, Cary Elwes, Morgan Freeman",Edward Zwick,"['Biography', 'Drama', 'History', 'War']",R
The Hate U Give,2018,"Raised in a poverty-stricken slum, a 16-year-old girl named Starr now attends a suburban prep school. After she witnesses a police officer shoot her unarmed best friend, she's torn between her two very different worlds as she tries to speak her truth.","Amandla Stenberg, Regina Hall, Russell Hornsby, K.J. Apa",George Tillman,"['Crime', 'Drama']",PG-13
The Defiant Ones,1958,"Two prisoners, one black and one white, must work together as they make a desperate bid for freedom while being manacled to each other after they escape from a chain gang in the Deep South. An Oscar winner for the screenplay, and stars Sidney Poitier and Tony Curtis were both nominated for Best Actor.","Tony Curtis, Sidney Poitier, Theodore Bikel, Charles McGraw",Stanley Kramer,"['Crime', 'Drama']",TVPG
The Learning Tree,1969,"Gordon Parks' adaptation of his own novel about a black teenager living in 1920s Kansas. After witnessing a murder, he must decide if he should come forward to clear the man being framed for the crime.","Kyle Johnson, Alex Clarke, Estelle Evans, Dana Elcar",Gordon Parks,['Drama'],TV14
Race,2016,"Based on the story of Jesse Owens, the athlete whose quest to become the greatest track and field athlete in history thrusts him onto the world stage of the 1936 Olympics, where he faces off against Adolf Hitler's vision of Aryan supremacy.","Stephan James, Jason Sudeikis, Carice van Houten, Jeremy Irons",Stephen Hopkins,"['Biography', 'Drama', 'Sport']",PG-13
12 Years a Slave,2013,"The harrowing true story of Solomon Northup, a free black man in 1800s New York who was kidnapped and forced into slavery on a plantation near New Orleans. Later, he fights for his freedom with the help of a Canadian abolitionist.","Chiwetel Ejiofor, Michael Fassbender, Benedict Cumberbatch, Paul Giamatti",Steve McQueen,"['Biography', 'Drama', 'History']",R
Little Women,2019,Four sisters come of age in America in the aftermath of the Civil War.,"Saoirse Ronan, Florence Pugh, Emma Watson, Eliza Scanlen",Greta Gerwig,"['Drama', 'Romance']",PG
Amistad,1997,"In 1839, the slave ship Amistad set sail from Cuba to America. During the long trip, Cinque leads the slaves in an unprecedented uprising. They are then held prisoner in Connecticut, and their release becomes the subject of heated debate. Freed slave Theodore Joadson wants Cinque and the others exonerated and recruits property lawyer Roger Baldwin to help his case. Eventually, John Quincy Adams also becomes an ally.","Morgan Freeman, Nigel Hawthorne, Anthony Hopkins, Djimon Hounsou",Steven Spielberg,"['Biography', 'Drama', 'History']",R
42,2013,"The powerful story of Jackie Robinson, the legendary baseball player who broke Major League Baseball’s color barrier when he joined the roster of the Brooklyn Dodgers. The film follows the innovative Dodgers’ general manager Branch Rickey, the MLB executive who first signed Robinson to the minors and then helped to bring him up to the show.","Chadwick Boseman, Harrison Ford, Nicole Beharie, Christopher Meloni",Brian Helgeland,"['Biography', 'Drama', 'Sport']",PG-13
Harry Potter And The Deathly Hallows - Part 1,2010,"Harry, Ron and Hermione walk away from their last year at Hogwarts to find and destroy the remaining Horcruxes, putting an end to Voldemort's bid for immortality. But with Harry's beloved Dumbledore dead and Voldemort's unscrupulous Death Eaters on the loose, the world is more dangerous than ever.","Daniel Radcliffe, Emma Watson, Rupert Grint, Alan Rickman",David Yates,"['Adventure', 'Family', 'Fantasy']",PG-13
Harry Potter And The Goblet Of Fire,2005,"Harry starts his fourth year at Hogwarts, competes in the treacherous Triwizard Tournament and faces the evil Lord Voldemort. Ron and Hermione help Harry manage the pressure – but Voldemort lurks, awaiting his chance to destroy Harry and all that he stands for.","Daniel Radcliffe, Rupert Grint, Emma Watson, Ralph Fiennes",Mike Newell,"['Adventure', 'Family', 'Fantasy']",PG-13
Harry Potter And The Chamber Of Secrets,2002,"Cars fly, trees fight back, and a mysterious house-elf comes to warn Harry Potter at the start of his second year at Hogwarts. Adventure and danger await when bloody writing on a wall announces: The Chamber Of Secrets Has Been Opened. To save Hogwarts will require all of Harry, Ron and Hermione’s magical abilities and courage.","Daniel Radcliffe, Rupert Grint, Emma Watson, Richard Harris",Chris Columbus,"['Adventure', 'Family', 'Fantasy']",PG
Harry Potter And The Order Of The Phoenix,2007,"Returning for his fifth year of study at Hogwarts, Harry is stunned to find that his warnings about the return of Lord Voldemort have been ignored. Left with no choice, Harry takes matters into his own hands, training a small group of students – dubbed 'Dumbledore's Army' – to defend themselves against the dark arts.","Daniel Radcliffe, Rupert Grint, Emma Watson, Michael Gambon",David Yates,"['Action', 'Adventure', 'Family']",PG-13
Harry Potter And The Half-Blood Prince,2009,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.","Daniel Radcliffe, Rupert Grint, Emma Watson, Tom Felton",David Yates,"['Action', 'Adventure', 'Family']",PG
Harry Potter And The Prisoner Of Azkaban,2004,"Harry, Ron and Hermione return to Hogwarts for another magic-filled year. Harry comes face to face with danger yet again, this time in the form of escaped convict, Sirius Black—and turns to sympathetic Professor Lupin for help.","Daniel Radcliffe, Rupert Grint, Emma Watson, Gary Oldman",Alfonso Cuarón,"['Adventure', 'Family', 'Fantasy']",PG
Harry Potter And The Deathly Hallows - Part 2,2011,"Harry, Ron and Hermione continue their quest to vanquish the evil Voldemort once and for all. Just as things begin to look hopeless for the young wizards, Harry discovers a trio of magical objects that endow him with powers to rival Voldemort's formidable skills.","Daniel Radcliffe, Rupert Grint, Emma Watson, Alan Rickman",David Yates,"['Adventure', 'Family', 'Fantasy']",PG-13
Harry Potter And The Sorcerer's Stone,2001,This ripping adaptation of J.K. Rowling's kid-lit smash follows the adventures of a young orphan who enrolls at a boarding school for magicians called Hogwarts and unravels a mystery connected to a diabolical wizard who vanished years ago.,"Daniel Radcliffe, Emma Watson, Rupert Grint, Maggie Smith",Chris Columbus,"['Adventure', 'Family', 'Fantasy']",PG
Mission: Impossible - Fallout,2018,"After a mission goes wrong, Ethan Hunt and his IMF team are blamed and their loyalty is questioned. They attempt to fulfill their initial mission while also trying to outrun a ruthless CIA agent tasked with taking them out. As Hunt fends off these old and new threats, he also realizes allies within IMF might have other motives.","Tom Cruise, Henry Cavill, Ving Rhames, Simon Pegg",Christopher McQuarrie,"['Action', 'Adventure', 'Thriller']",PG-13
Mission: Impossible III,2006,"In the slick and stylish third installment in the ""Mission: Impossible"" series, retired superspy Ethan Hunt is called back into action to battle a ruthless arms dealer.","Tom Cruise, Philip Seymour Hoffman, Ving Rhames, Billy Crudup",J.J. Abrams,"['Action', 'Adventure', 'Thriller']",PG-13
Mission: Impossible,1996,"Secret agent Ethan Hunt (Tom Cruise) is framed for the deaths of his espionage team, and must flee government assassins to find the truth. This blockbuster film, inspired by the TV series, was shot on location in Europe. Jon Voight, Emmanuelle Beart, Henry Czerny, Jean Reno, Ving Rhames.","Tom Cruise, Jon Voight, Henry Czerny, Emmanuelle Béart",Brian De Palma,"['Action', 'Adventure', 'Thriller']",PG-13
Mission: Impossible - Rogue Nation,2013,"Ethan Hunt and his teammates reunite for this pulse-pounding sequel, in which they attempt to take down a secret international organization known as the Syndicate—highly skilled ex-IMF agents who are intent on bringing down their former outfit.","Tom Cruise, Jeremy Renner, Simon Pegg, Rebecca Ferguson",Christopher McQuarrie,"['Action', 'Adventure', 'Thriller']",PG-13
Mission: Impossible II,2000,"With computer genius Luther Stickell at his side and a beautiful thief on his mind, agent Ethan Hunt races across Australia and Spain to stop a former IMF agent from unleashing a genetically engineered biological weapon called Chimera. This mission, should Hunt choose to accept it, plunges him into the center of an international crisis of terrifying magnitude.","Tom Cruise, Dougray Scott, Thandiwe Newton, Ving Rhames",John Woo,"['Action', 'Adventure', 'Thriller']",PG-13
Mission: Impossible - Ghost Protocol,2011,"When the Kremlin is bombed and the blame falls on the Impossible Mission Force, Ethan Hunt (Tom Cruise) assembles a new team to uncover the truth by using every high-tech trick in the book in this white-knuckle sequel.","Tom Cruise, Paula Patton, Simon Pegg, Jeremy Renner",Brad Bird,"['Action', 'Adventure', 'Thriller']",PG-13
Puss in Boots,2011,Swashbuckling feline Puss in Boots (voice of Antonio Banderas) fights to save his town with the help of Kitty Softpaws (voice of Salma Hayek) and Humpty Dumpty (voice of Zach Galifianakis) in this sweeping animated adventure for the whole family.,"Antonio Banderas, Salma Hayek, Zach Galifianakis, Billy Bob Thornton",Chris Miller,"['Animation', 'Action', 'Adventure']",PG
Kung Fu Panda,2008,"When the Valley of Peace is threatened, lazy Po the panda discovers his destiny as the ""chosen one"" and trains to become a kung fu hero, but transforming the unsleek slacker into a brave warrior won't be easy. It's up to Master Shifu and the Furious Five -- Tigress, Crane, Mantis, Viper and Monkey -- to give it a try.","Jack Black, Dustin Hoffman, Angelina Jolie, Jackie Chan",Mark Osborne,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy']",PG
Bee Movie,2007,"Honey of an animated comedy was co-written and co-produced by Jerry Seinfeld, who lends his voice to lead character Barry B. Benson. Barry's a worker bee who sets out from the hive to experience the outside world, where he bee-friends a human bee-ing, a florist named Vanessa Bloome (voice of Renee Zellweger). Other voices include Sting, Ray Liotta and Larry King as their cartoon selves, plus former ""Seinfeld"" cast mates Michael Richards and Patrick Warburton.","Jerry Seinfeld, Renée Zellweger, Jim Cummings, Matthew Broderick","Steve Hickner, Simon J. Smith","['Animation', 'Adventure', 'Comedy', 'Drama', 'Family']",PG
Madagascar,2005,"A group of animals who have spent all their life in a New York zoo end up in the jungles of Madagascar, and must adjust to living in the wild.","Ben Stiller, Chris Rock, David Schwimmer, Jada Pinkett Smith","Eric Darnell, Tom McGrath","['Animation', 'Adventure', 'Comedy', 'Family']",PG
The Kids Are Alright,2021,"When Ricardo, a responsible father, decides to personally take his son to a camp in Asturias, other parents propose that he should also take care of their children. When the train is about to leave, Felipe, a flamboyant individual and grandfather of two of the children, shows up at the station.","Santiago Segura, Leo Harlem, El Cejas, David Guapo",Santiago Segura,['Comedy'],G
Pan's Labyrinth,2006,"A chilling mix of war-ravaged reality and fairy-tale magic marks this phantasmagorical yarn, in which a girl in 1944 fascist Spain escapes her hellish surroundings and sadistic stepfather by completing a series of trials in an imaginative fantasy realm.","Ivana Baquero, Maribel Verdú, Sergi López, Doug Jones",Guillermo del Toro,"['Drama', 'Fantasy', 'War']",R
I Carry You With Me,2020,"An epic love story spanning decades is sparked by a chance encounter between two men in provincial Mexico. Based on a true story, ambition and societal pressure propel an aspiring chef to leave his soulmate and make the treacherous journey to New York, where life will never be the same.","Armando Espitia, Christian Vázquez, Michelle Rodríguez, Ángeles Cruz",Heidi Ewing,['Drama'],NR
El Plan Divino,2019,"Two altar boys that live in a small church in the middle of the jungle. They grew under the tutelage of Father Roberto, an elderly priest who was their mentor. Now, at the end of his life, they must protect and take care of him. Eustaquio pretends to be in command of the church and Heriberto only thinks about Maria, a beautiful young woman that barely pays attention to him. These young men face their frst existential crisis that leads them to launch a risky plan, a heavenly plan","Gastón Pauls, Víctor Laplace, Javier Lester, Paula Sartor",Víctor Laplace,['Spanish (Latin)'],NR
1976,2022,"Chile, 1976. Carmen heads off to her beach house to supervise its renovation. Her husband, children and grandchildren come back and forth during the winter vacation. When the family priest asks her to take care of a young man he is sheltering in secret, Carmen steps onto unexplored territories, away from the quiet life she is used to.","Aline Küppenheim, Alejandro Goic, Hugo Medina, Nicolás Sepúlveda",Manuela Martelli,['Drama'],NR
Capernaum,2018,"A 12-year-old Lebanese street boy decides to sue his parents for bringing him into the world. Born into urban squalor and a hard life on the streets of Beirut, and already serving a five-year sentence for murder, Zain's case against his parents reveals grim details about a home life that is far more troublesome that originally thought.","Fadi Kamel Youssef, Cedra Izam, Alaa Chouchnieh, Elias Khoury",Nadine Labaki,['Drama'],R
Say Anything...,1989,"An unlikely teen romance begins when an underachieving high-school graduate falls for a valedictorian, much to her disapproving father's dismay.","John Cusack, Ione Skye, John Mahoney, Lili Taylor",Cameron Crowe,"['Comedy', 'Drama', 'Romance']",PG-13
Groundhog Day,1993,"A narcissistic TV weatherman, along with his attractive-but-distant producer, and his mawkish cameraman, is sent to report on Groundhog Day in the small town of Punxsutawney, where he finds himself repeating the same day over and over.","Bill Murray, Andie MacDowell, Chris Elliott, Stephen Tobolowsky",Harold Ramis,"['Comedy', 'Drama', 'Fantasy', 'Romance']",PG
La La Land,2016,"In this wondrous musical, struggling actress Mia and aspiring jazz pianist Sebastian begin a whirlwind romance as they both pursue their dreams in L.A. However, their relationship is challenged when their careers pull them in different directions.","Ryan Gosling, Emma Stone, John Legend, Rosemarie DeWitt",Damien Chazelle,"['Comedy', 'Drama', 'Music']",PG-13
An Affair To Remember,1957,"A man and woman meet and fall in love while aboard an ocean liner en route to New York. They agree to meet at the top of the Empire State building in six months to resume their romance provided they've both ended their current respective relationships. Remake of the 1939 classic ""Love Affair.""","Cary Grant, Deborah Kerr, Richard Denning, Cathleen Nesbitt",Leo McCarey,"['Drama', 'Romance']",NR
500 Days Of Summer,2009,"Greeting-card copywriter Tom falls for his coworker Summer in this hilarious and highly unconventional romantic comedy. Tom is sure he's found his soul mate, but Summer claims not to believe in true love and is only interested in having some fun with Tom. The film moves forward and backward through various incidents in Tom and Summer's 500-day love affair.","Joseph Gordon-Levitt, Zooey Deschanel, Geoffrey Arend, Chloe Grace Moretz",Marc Webb,"['Comedy', 'Drama', 'Romance']",PG-13
Casablanca,1943,"Romance, World War II intrigue, a heroic American expatriate, a brave Czech freedom fighter, arrogant Nazis, patriotic Frenchmen, blackmail, black-marketeers and the usual suspects make this Best Picture even more an audience favorite as time goes by. Director Michael Curtiz scored an Oscar, as did the script.","Humphrey Bogart, Ingrid Bergman, Claude Rains, Paul Henreid",Michael Curtiz,"['Drama', 'Romance', 'War']",PG
Four Weddings and A Funeral,1994,"Over the course of five social occasions, a committed bachelor must consider the notion that he may have discovered love.","Hugh Grant, Andie MacDowell, James Fleet, Simon Callow",Mike Newell,"['Comedy', 'Drama', 'Romance']",R
A Star Is Born,2018,"Seasoned musician Jackson Maine discovers — and falls in love with — struggling artist Ally. She has just about given up on her dream to make it big as a singer — until Jack coaxes her into the spotlight. But even as Ally's career takes off, the personal side of their relationship is breaking down, as Jack fights an ongoing battle with his own internal demons.","Bradley Cooper, Lady Gaga, Sam Elliott, Andrew Dice Clay",Bradley Cooper,"['Drama', 'Music', 'Romance']",R
Hitch,2005,"Dating coach Alex 'Hitch' Hitchens mentors a bumbling client, Albert, who hopes to win the heart of the glamorous Allegra Cole. While Albert makes progress, Hitch faces his own romantic setbacks when proven techniques fail to work on Sara Melas, a tabloid reporter digging for dirt on Allegra Cole's love life. When Sara discovers Hitch's connection to Albert – now Allegra's boyfriend – it threatens to destroy both relationships.","Will Smith, Eva Mendes, Kevin James, Amber Valletta",Andy Tennant,"['Comedy', 'Romance']",PG-13
"Love, Simon",2018,Everyone deserves a great love story. But for seventeen-year old Simon Spier it's a little more complicated: he's yet to tell his family or friends he's gay and he doesn't know the identity of the anonymous classmate he's fallen for online.,"Nick Robinson, Jennifer Garner, Josh Duhamel, Katherine Langford",Greg Berlanti,"['Comedy', 'Drama']",PG-13
Me Before You,2016,"A small town girl is caught between dead-end jobs. A high-profile, successful man becomes wheelchair bound following an accident. The man decides his life is not worth living until the girl is hired for six months to be his new caretaker. Worlds apart and trapped together by circumstance, the two get off to a rocky start. But the girl becomes determined to prove to the man that life is worth living and as they embark on a series of adventures together, each finds their world changing in ways neither of them could begin to imagine.","Emilia Clarke, Sam Claflin, Janet McTeer, Charles Dance",Thea Sharrock,"['Drama', 'Romance']",PG-13
"Crazy, Stupid, Love.",2011,"Cal Weaver is living the American dream. He has a good job, a beautiful house, great children and a beautiful wife, named Emily. Cal's seemingly perfect life unravels, however, when he learns that Emily has been unfaithful and wants a divorce. Over 40 and suddenly single, Cal is adrift in the fickle world of dating. Enter, Jacob Palmer, a self-styled player who takes Cal under his wing and teaches him how to be a hit with the ladies.","Steve Carell, Julianne Moore, Emma Stone, Ryan Gosling",Glenn Ficarra,"['Comedy', 'Drama', 'Romance']",PG-13
Guardians Of The Galaxy Vol. 2,2017,The Guardians must fight to keep their newfound family together as they unravel the mysteries of Peter Quill's true parentage.,"Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel",James Gunn,"['Action', 'Adventure', 'Comedy']",PG-13
Shang-Chi and the Legend of the Ten Rings,2021,"Shang-Chi must confront his father, leader of the Ten Rings organization.","Simu Liu, Tony Leung Chiu-Wai, Tony Chiu-Wai Leung, Michelle Yeoh",Destin Daniel Cretton,"['Action', 'Adventure', 'Fantasy']",PG-13
Deadpool,2016,"In this irreverent spin on the superhero genre, a mercenary reinvents himself as a wisecracking antihero called Deadpool after an experiment leaves him with advanced healing powers and a disfigured face. He then sets out to seek revenge on those responsible for his transformation.","Stefan Kapicic, Ryan Reynolds, Morena Baccarin, Ed Skrein",Tim Miller,"['Action', 'Comedy']",R
Spider-Man: Homecoming,2017,"Following the events of Captain America: Civil War, Peter Parker, with the help of his mentor Tony Stark, tries to balance his life as an ordinary high school student in Queens, New York City, with fighting crime as his superhero alter ego Spider-Man as a new threat, the Vulture, emerges.","Tom Holland, Michael Keaton, Robert Downey Jr., Marisa Tomei",Jon Watts,"['Action', 'Adventure', 'Sci-Fi']",PG-13
Joker,2019,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.","Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy",Todd Phillips,"['Crime', 'Drama', 'Thriller']",R
Captain Marvel,2019,"The story follows Carol Danvers as she becomes one of the universe’s most powerful heroes when Earth is caught in the middle of a galactic war between two alien races. Set in the 1990s, Captain Marvel is an all-new adventure from a previously unseen period in the history of the Marvel Cinematic Universe.","Brie Larson, Samuel L. Jackson, Ben Mendelsohn, Jude Law",Ryan Fleck,"['Action', 'Adventure', 'Sci-Fi']",PG-13
Saw X,2023,"John Kramer (Tobin Bell) is back. The most chilling installment of the SAW franchise yet explores the untold chapter of Jigsaw's most personal game. Set between the events of SAW I and II, a sick and desperate John travels to Mexico for a risky and experimental medical procedure in hopes of a miracle cure for his cancer - only to discover the entire operation is a scam to defraud the most vulnerable. Armed with a newfound purpose, John returns to his work, turning the tables on the con artists in his signature visceral way through a series of ingenious and terrifying traps.","Tobin Bell, Shawnee Smith, Synnøve Macody Lund, Steven Brand",Kevin Greutert,"['Horror', 'Mystery', 'Thriller']",R
The Creator,2023,"Amid a future war between the human race and the forces of artificial intelligence, Joshua, a hardened ex-special forces agent grieving the disappearance of his wife, is recruited to hunt down and kill the Creator, the elusive architect of advanced AI who has developed a mysterious weapon with the power to end the war-and mankind itself.","John David Washington, Madeleine Yuna Voyles, Gemma Chan, Allison Janney",Gareth Edwards,"['Action', 'Adventure', 'Drama']",PG-13
The Nun II,2023,"A follow-up to the enigmatic gothic horror about a strong evil that haunts and causes supernatural harm to everybody it comes into contact with. After the events of the first film, the said powerful evil now begins to spread in 1956 throughout a town in France as word gets out that a priest has been violently murdered. A finished contemplative in her novitiate, Sister Irene, begins to investigate the murder, only to find a demon behind it -- the same evil that terrorized her in the original film as a nun -- Valak, whom she once again soon comes to encounter.","Taissa Farmiga, Jonas Bloquet, Storm Reid, Anna Popplewell",Michael Chaves,"['Horror', 'Mystery', 'Thriller']",R
The Kill Room,2023,"THE KILL ROOM is a dark comedy / crime-thriller about a hitman, his boss (Jackson), an art dealer (Thurman) and their money laundering scheme that accidentally turns the hitman into an overnight, avant garde, sensation forcing the dealer to play the art world against the underworld.","Samuel L. Jackson, Maya Hawke, Uma Thurman, Joe Manganiello",Nicol Paone,"['Comedy', 'Thriller']",R
The Exorcist: Believer,2023,"When victors daughter, Angela, and her friend Katherine, show signs of demonic possession, it unleashes a chain of events that forces single father Victor Fielding to confront the nadir of evil. Terrified and desperate, he seeks out Chris MacNeil, the only person alive who's witnessed anything like it before.","Ellen Burstyn, Jennifer Nettles, Leslie Odom Jr., Ann Dowd",David Gordon Green,['Horror'],R
Meg 2: The Trench,2023,"Get ready for the ultimate adrenaline rush this summer in ""Meg 2: The Trench,"" a literally larger-than-life thrill ride that supersizes the 2018 blockbuster and takes the action to higher heights and even greater depths with multiple massive Megs and so much more. Dive into uncharted waters with Jason Statham and global action icon Wu Jing as they lead a daring research team on an exploratory dive into the deepest depths of the ocean. Their voyage spirals into chaos when a malevolent mining operation threatens their mission and forces them into a high-stakes battle for survival. Pitted against colossal Megs and relentless environmental plunderers, our heroes must outrun, outsmart, and outswim their merciless predators in a pulse-pounding race against time. Immerse yourself in the most electrifying cinematic experience of the year with ""Meg 2: The Trench"" - where the depths of the ocean are matched only by the heights of sheer, unstoppable excitement.","Jason Statham, Jing Wu, Shuya Sophia Cai, Cliff Curtis",Ben Wheatley,"['Action', 'Adventure', 'Horror']",PG-13
Insidious: The Red Door,2023,"Ten years after he first ventured into the Further, Josh Lambert heads east to drop his son Dalton off at an idyllic, ivy-covered university. However, Dalton's college dream becomes a nightmare when the repressed demons of his past suddenly resurface.","Patrick Wilson, Ty Simpkins, Rose Byrne, Lin Shaye",Patrick Wilson,"['Horror', 'Mystery', 'Thriller']",PG-13
Indiana Jones and the Dial of Destiny,2023,"Daredevil archaeologist Indiana Jones races against time to retrieve a legendary dial that can change the course of history. Accompanied by his goddaughter, he soon finds himself squaring off against Jürgen Voller, a former Nazi who works for NASA.","Harrison Ford, Mads Mikkelsen, Boyd Holbrook, Phoebe Waller-Bridge",James Mangold,"['Action', 'Adventure', 'Sci-Fi']",PG-13
Fast X,2023,Dom Toretto and his family are targeted by the vengeful son of drug kingpin Hernan Reyes.,"Vin Diesel, Michelle Rodriguez, Jason Statham, Jordana Brewster",Louis Leterrier,"['Action', 'Adventure', 'Crime']",PG-13
Transformers: Rise of the Beasts,2023,"Primarily influenced by the Beast Wars storyline, Transformers: Rise of the Beasts will take audiences on a '90s globetrotting adventure with the Autobots and introduce a whole new faction of Transformers - the Maximals - to join them as allies in the existing battle for earth. .","Michelle Yeoh, Pete Davidson, Colman Domingo, Peter Dinklage",Steven Caple Jr.,"['Action', 'Adventure', 'Sci-Fi']",PG-13
Kandahar,2023,A CIA operative and his translator flee from special forces in Afghanistan after exposing a covert mission.,"Gerard Butler, Navid Negahban, Ali Fazal, Bahador Foladi",Ric Roman Waugh,"['Action', 'Thriller']",R
Evil Dead Rise,2023,Two sisters find an ancient vinyl that gives birth to bloodthirsty demons that run amok in a Los Angeles apartment building and thrusts them into a primal battle for survival as they face the most nightmarish version of family imaginable.,"Lily Sullivan, Alyssa Sutherland, Morgan Davies, Gabrielle Echols",Lee Cronin,['Talk-Show'],R
Big George Foreman: The Miraculous Story of the Once and Future Heavyweight Champion of the World,2023,The life and boxing career of George Foreman.,"Khris Davis, Jasmine Mathews, Sullivan Jones, Lawrence Gilliard Jr.",George Tillman Jr.,"['Biography', 'Drama', 'Sport']",PG-13
Resident Evil: Death Island,2023,"D.S.O. agent Leon S. Kennedy is on a mission to rescue Dr. Antonio Taylor from kidnappers, when a mysterious woman thwarts his pursuit. Meanwhile, B.S.A.A. agent Chris Redfield is investigating a zombie outbreak in San Francisco, where the cause of the infection cannot be identified. The only thing the victims have in common is that they all visited Alcatraz Island recently. Following that clue, Chris and his team head to the island, where a new horror awaits them.","Erin Cahill, Kevin Dorman, Matthew Mercer, Stephanie Panisello",Eiichirô Hasumi,"['Animation', 'Action', 'Horror']",R
Guy Ritchie's The Covenant,2023,"During the war in Afghanistan, a local interpreter risks his own life to carry an injured sergeant across miles of grueling terrain.","Jake Gyllenhaal, Dar Salim, Sean Sagar, Jason Wong",Guy Ritchie,"['Action', 'Drama', 'Thriller', 'War']",R
The Little Mermaid,2023,"“The Little Mermaid” is visionary filmmaker Rob Marshall’s live-action reimagining of Disney’s beloved animated musical classic, the story of Ariel, a beautiful and spirited young mermaid with a thirst for adventure. The youngest of King Triton’s daughters and the most defiant, Ariel longs to find out more about the world beyond the sea and, while visiting the surface, falls for the dashing Prince Eric. While mermaids are forbidden to interact with humans, Ariel must follow her heart. She makes a deal with the evil sea witch, Ursula, which gives her a chance to experience life on land but ultimately places her life – and her father’s crown – in jeopardy. “The Little Mermaid” is directed by Rob Marshall with a screenplay by David Magee, and is produced by Marc Platt, Lin-Manuel Miranda, John DeLuca and Rob Marshall. Warning: Some flashing-lights scenes in this film may affect photosensitive viewers.","Halle Bailey, Jonah Hauer-King, Melissa McCarthy, Javier Bardem",Rob Marshall,"['Adventure', 'Family', 'Fantasy']",PG
Runner,2019,A refugee marathoner strives to raise his new country's flag at the Olympics.,Bill Gallagher,English,['English'],NR
Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,The Turtle brothers as they work to earn the love of New York City while facing down an army of mutants.,"Ayo Edebiri, Rose Byrne, Seth Rogen, Jackie Chan","Jeff Rowe, Kyler Spears","['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",PG
